epoch,train_loss,train_acc,train_auc_roc,train_auc_prc,val_loss,val_acc,val_auc_roc,val_auc_prc
1,0.66825105723715,0.5870729695706907,0.6288721451097479,0.613645535530263,0.613885513868498,0.6555100657139877,0.7187482802576274,0.6983825872333925
2,0.5848290641476422,0.6806745670009116,0.7507303734866624,0.7305659588925448,0.5591612974384026,0.7038828622092417,0.77842797756752,0.7600485583143181
3,0.5451488970871906,0.7178582280678908,0.7928613433769252,0.7714390620149266,0.5315143669796796,0.7309116511943257,0.8059107802389951,0.7844472911528565
4,0.5228711832349497,0.7348830142813735,0.8128869019484216,0.7920269453467874,0.5176145224299161,0.7428940231563576,0.818635049672579,0.7958787587551137
5,0.5065231211455988,0.7486304640361158,0.8263550889197389,0.8054907060007351,0.49761674758713276,0.7552414728277876,0.8343294569855181,0.815640214734148
6,0.4935004653665513,0.7574250119373183,0.8369966641383806,0.8157661736981318,0.4876888306319707,0.7611609471158861,0.8416426811452988,0.820717928926868
7,0.48165876142172553,0.7656726136215654,0.8458645542157847,0.826141955190881,0.4817231898388873,0.7665979972879942,0.8470552866994001,0.8291184701631789
8,0.47305588657648895,0.7716933628510657,0.8519984260359953,0.8317081530743384,0.46854243232371523,0.7758683634087827,0.8570404651993832,0.8367134704267506
9,0.4629575132852773,0.7801883925858402,0.8592971474428308,0.8388420573036574,0.460897502765375,0.7819182225930948,0.8622435063072017,0.8437963391037439
10,0.45268186268440297,0.7876763467465382,0.8666491333692664,0.8469176003384028,0.44513584878728923,0.7922447063732138,0.8714679470105338,0.8528547249736493
11,0.4449159210108684,0.793718800190997,0.8715708632707022,0.851429173172748,0.444729687275523,0.7887112756858246,0.8710249872079455,0.8534503012439596
12,0.4357486398369507,0.7994313495680861,0.8774835964532948,0.8582197408464237,0.43880431577710943,0.794343903202253,0.8762980943872735,0.8581575254139193
13,0.42969517051208533,0.8018752441724183,0.8810006292611268,0.8627012022249945,0.42301546193094314,0.8085688953791593,0.8853749789510061,0.8659169397538274
14,0.4198973841896311,0.8081477622954377,0.8864907323774687,0.8676606647206522,0.4187921074740616,0.80675654532179,0.8881478037634606,0.8714070292857296
15,0.41382332392211235,0.8123583799973955,0.8903091278472741,0.8719515645120481,0.4198655666251295,0.8036012308334203,0.8891138460909757,0.8732218635093241
16,0.40549366825202454,0.8173807353388028,0.8946502684440278,0.8767883648498249,0.41340777993239514,0.8143971002399082,0.8907388992717475,0.8738408521025097
17,0.4002256696193268,0.8214394235360507,0.8977678226497182,0.8805127664459282,0.40458734726289075,0.8181913007197247,0.8954914909595435,0.8789181001638814
18,0.39557731941031227,0.8241481095628771,0.9000152833776338,0.8825036371384879,0.399683620514531,0.81853030144988,0.8975945828792551,0.8817321356006678
19,0.38922185364006323,0.8274471502365759,0.9031351986009345,0.8860120029534925,0.38877666050019744,0.829182747470533,0.9034825574575651,0.8873384822569873
20,0.3810548486281441,0.8317532664843512,0.9074813661866917,0.8907283749230259,0.39200339427242514,0.8254928549076875,0.9015331366570041,0.8833448975362974
21,0.37857741026558145,0.8342362286756088,0.9086384614980652,0.891425502453732,0.38149679767783323,0.833863565244602,0.9078102870982118,0.8915074694038712
22,0.37219417741088895,0.8375743369362331,0.9116685619532972,0.8954391643788452,0.38111347588630345,0.8308516741420674,0.9092025443504761,0.8922398404281339
23,0.36702127324736367,0.841363892867995,0.914338253428348,0.8974520713189459,0.3755090316990512,0.8393006154167101,0.9104435791954459,0.893891994215446
24,0.36401315650142213,0.842870165386118,0.9157130976494706,0.8992925193367499,0.3697285212415518,0.8397569625534578,0.9123021151136602,0.8965333056021683
25,0.357110312335394,0.8465946086730043,0.9185159695113978,0.9026645761799639,0.37470020731335774,0.8387269218733702,0.9108037486009906,0.8925337640456741
26,0.35497061552886316,0.8478447714546165,0.9198737824104524,0.9040032444304905,0.3598641014153833,0.8463935537707312,0.9186013104216557,0.9037184763598178
27,0.35204316567861305,0.8499804662065373,0.9210324529143887,0.9047141394118012,0.3588066571781182,0.8475148638781683,0.9183759833703129,0.902022527804292
28,0.34363013848888124,0.8535442983027304,0.9246665243988681,0.9094316844548663,0.3551880225929339,0.8478799415875665,0.9201043183347064,0.9056796557148499
29,0.34061011564231203,0.8557016972696098,0.9259322516567631,0.9105666093063729,0.3555744980496187,0.8499400229477417,0.9206243057993689,0.9050360474485419
30,0.3376623212693492,0.8571211529278986,0.9272699214012339,0.911972490403839,0.34797772375028024,0.851139563992907,0.9239256637476588,0.9082717041242957
31,0.3328338961192043,0.8604332161305726,0.9293044002515085,0.914563557044392,0.34334454989861035,0.8547773025972671,0.9259044840506863,0.9127965895607555
32,0.32736431160087814,0.8632591049181751,0.9315268530356738,0.9166834780278476,0.33699403868435795,0.8584280796912486,0.9279945589010552,0.9133076949467549
33,0.324806734660943,0.8645960845596214,0.9326463589493437,0.9180675769263,0.33768733858726463,0.8579586940648796,0.9277211746045223,0.9139403137709692
34,0.3221424488126701,0.8653123236532535,0.9334861054933308,0.9192508203209169,0.34333142478112644,0.8528084906644414,0.9255985174702814,0.9110085651165631
35,0.32194853387457706,0.8663150583843382,0.9335452915129318,0.9188696306039144,0.3361445588700973,0.856928653384792,0.9285155136783019,0.9152729393150285
36,0.31597439871871563,0.869405738594435,0.9362480537786071,0.92197639869238,0.3313158334507688,0.8611922394909773,0.9302394343652688,0.9156683573439154
37,0.3118137618239702,0.8711333941051352,0.9377559890334897,0.9240827891774596,0.32210335879352225,0.8653906331490561,0.9338752488845978,0.9211016618270472
38,0.3083532560749818,0.8731128185093545,0.9389140743894542,0.9247530364343329,0.32615760607578664,0.8626134348597059,0.9321486384226388,0.9191135620554933
